JPK_V7,NazwaKatalogu,NazwaRodzaju,Nazwa_Dl.opis,Nazwa_Dl.opis_2,Nazwa_Dl.opis_3,Nazwa_Dl.opis_4,aktywny,cbazowa,cbazowawal,cenaa,cenab,cenac,cenad,flag,flagcen,id,info,jm,jmdef,kod,kontofk,marzaa,marzab,marzac,marzad,mpp,nazwa,negoc,negocjacjacen,nettoa,nettob,nettoc,nettod,odwrotneObc,przelit,przeljmdod1,przeljmdod2,przelkg,przeluz,stawkaVAT,subtyp,sww,typks,vat50,zaokrag,znacznik
,\@Towary,Pozostała sprzedaz,,,,,1,69.9500,,69.9500,69.9500,69.9500,86.0400,0,15,65623,N,szt,0,Abonament,,0.00,0.00,0.00,0.00,0,Abonament neostrada 1024,N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,0,,Towar,0,0,0
,\@Towary,Pozostała sprzedaz,,,,,1,1.9000,,1.9000,1.9000,1.9000,2.3400,0,15,65612,N,kg,0,Adiment,,0.00,0.00,0.00,0.00,0,Adiment BV3M,N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,0,,Towar,0,0,0
,\@Towary,Pozostała sprzedaz,,,,,1,5000.0000,,5000.0000,5000.0000,5000.0000,6150.0000,0,15,65661,N,szt,0,Agregat próżniowy,,0.00,0.00,0.00,0.00,0,Agregat próżniowy "Miniwac",N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,0,,Towar,0,0,0
,\@Towary,Pozostała sprzedaz,,,,,1,856.8100,,856.8100,856.8100,856.8100,1053.8800,0,15,65598,N,szt,0,Alarm,,0.00,0.00,0.00,0.00,0,Alarm CA1545428,N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,0,,Towar,0,0,0
,\@Towary,Sprzedaż Betonu,,,,,1,180.0000,,180.0000,180.0000,180.0000,221.4000,0,15,65560,N,m3,0,B-10,,0.00,0.00,0.00,0.00,0,B-10,N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,0,1484,Towar,0,0,0
,\@Towary,Sprzedaż Betonu,,,,,1,201.0000,,201.0000,201.0000,201.0000,247.2300,0,15,65554,N,m3,0,B-15,,0.00,0.00,0.00,0.00,0,B-15,N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,0,1484,Towar,0,0,0
,\@Towary,Sprzedaż Betonu,,,,,1,265.0000,,265.0000,265.0000,265.0000,325.9500,0,15,65562,N,m3,0,B-15 z transportem,,0.00,0.00,0.00,0.00,0,Beton B-15,N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,0,1484,Towar,0,0,0
,\@Towary,Sprzedaż Betonu,,,,,1,220.0000,,220.0000,220.0000,220.0000,270.6000,0,15,65555,N,m3,0,B-20+żwir 2-8,,0.00,0.00,0.00,0.00,0,B-20 + żwir 2-8,N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,0,1484,Towar,0,0,0
,\@Towary,Sprzedaż Betonu,,,,,1,5000.0000,,5000.0000,5000.0000,5000.0000,6150.0000,0,15,65679,N,Ryczałt,0,Belki Betonowe,,0.00,0.00,0.00,0.00,0,Wykonanie belek betonowych,N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,0,1484,Towar,0,0,0
,\@Towary,Sprzedaż Betonu,,,,,1,225.0000,,225.0000,225.0000,225.0000,276.7500,0,15,65615,N,m3,0,Betob B-20 z dodatkami,,0.00,0.00,0.00,0.00,0,Beton B-20 z dodatkiem BV3M,N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,0,1484,Towar,0,0,0
,\@Towary,Sprzedaż Betonu,,,,,1,220.0000,,220.0000,220.0000,220.0000,270.6000,0,15,65620,N,m3,0,Beton B -12,5,,0.00,0.00,0.00,0.00,0,Beton B-12,5,N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,0,1484,Towar,0,0,0
,\@Towary,Sprzedaż Betonu,,,,,1,190.0000,,190.0000,190.0000,190.0000,233.7000,0,15,65536,N,m3,0,Beton B-10,701-2-1,0.00,0.00,0.00,0.00,0,Beton C8/10,N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,0,1484,Towar,0,0,0
,\@Towary,Sprzedaż Betonu,,,,,1,170.0000,,225.0000,220.0000,215.0000,209.1000,0,15,65537,N,m3,0,Beton B-10 z transportem,701-2-1,0.00,0.00,0.00,0.00,0,Beton C8/10 z transportem,N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,0,1484,Towar,0,0,0
,\@Towary,Sprzedaż Betonu,,,,,1,205.0000,,205.0000,205.0000,205.0000,252.1500,0,15,65539,N,m3,0,Beton B-15,701-2-1,0.00,0.00,0.00,0.00,0,Beton C12/15,N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,0,1484,Towar,0,0,0
,\@Towary,Sprzedaż Betonu,,,,,1,245.0000,,245.0000,245.0000,245.0000,301.3500,0,15,65568,N,m3,0,Beton B-15 z transportem,701-2-1,0.00,0.00,0.00,0.00,0,Beton C12/15 z transportem,N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,0,1484,Towar,0,0,0
,\@Towary,Sprzedaż Betonu,,,,,1,215.0000,,215.0000,215.0000,215.0000,264.4500,0,15,65540,N,m3,0,Beton B-20,701-2-1,0.00,0.00,0.00,0.00,0,Beton C16/20,N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,0,1484,Towar,0,0,0
,\@Towary,Sprzedaż Betonu,,,,,1,250.0000,,250.0000,250.0000,250.0000,307.5000,0,15,65617,N,m3,0,Beton B-20 z transportem,701-2-1,0.00,0.00,0.00,0.00,0,Beton C16/20 z transportem,N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,0,1484,Towar,0,0,0
,\@Towary,Sprzedaż Betonu,,,,,1,220.0000,,220.0000,220.0000,220.0000,270.6000,0,15,65551,N,m3,0,Beton B-25,701-2-1,0.00,0.00,0.00,0.00,0,Beton C20/25,N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,0,1484,Towar,0,0,0
,\@Towary,Sprzedaż Betonu,,,,,1,240.0000,,240.0000,240.0000,240.0000,295.2000,0,15,65564,N,m3,0,Beton B-25 z Dodatkami FS1,701-2-1,0.00,0.00,0.00,0.00,0,Beton C20/25 z dodatkami FS1,N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,0,1484,Towar,0,0,0
,\@Towary,Sprzedaż Betonu,,,,,1,242.0000,,242.0000,242.0000,242.0000,297.6600,0,15,65587,N,m3,0,Beton B-25 Z dodatkami FS1 + transport,701-2-1,0.00,0.00,0.00,0.00,0,Beton C20/25 z dodatkami FS1 + transport,N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,0,1484,Towar,0,0,0
,\@Towary,Sprzedaż Betonu,,,,,1,235.0000,,235.0000,235.0000,235.0000,289.0500,0,15,65628,N,m3,0,Beton B-25 z dodatkiemW8 + transport,701-2-1,0.00,0.00,0.00,0.00,0,Beton C20/25 z dodatkiem W8 + transport,N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,0,1484,Towar,0,0,0
,\@Towary,Sprzedaż Betonu,Beton C20/25 z zbrojeniem rozproszonym + plasty + ,transport,,,1,275.0000,,275.0000,275.0000,275.0000,338.2500,0,15,65670,N,m3,0,Beton B-25 z zbroj.rozpr+plasty + trans.,701-2-1,0.00,0.00,0.00,0.00,0,Beton C20/25 z zbrojeniem rozproszony...,N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,0,1484,Towar,0,0,0
,\@Towary,Sprzedaż Betonu,,,,,1,270.0000,,270.0000,270.0000,270.0000,332.1000,0,15,65561,N,m3,0,Beton B-25z transportem,701-2-1,0.00,0.00,0.00,0.00,0,Beton C20/25 z transportem,N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,0,1484,Towar,0,0,0
,\@Towary,Sprzedaż Betonu,,,,,1,206.0000,,206.0000,206.0000,206.0000,253.3800,0,15,65589,N,m3,0,Beton B-30,701-2-1,0.00,0.00,0.00,0.00,0,Beton C25/30,N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,0,1484,Towar,0,0,0
,\@Towary,Sprzedaż Betonu,,,,,1,250.0000,,250.0000,250.0000,250.0000,307.5000,0,15,65745,N,m3,0,Beton B-30 W8 z transportem,701-2-1,0.00,0.00,0.00,0.00,0,Beton C25/30 W8 z transportem,N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,0,,Towar,0,0,0
,\@Towary,Sprzedaż Betonu,,,,,1,256.0000,,256.0000,256.0000,256.0000,314.8800,0,15,65588,N,m3,0,Beton B-30 z dodatkami FS1 + transport,701-2-1,0.00,0.00,0.00,0.00,0,Beton C25/30 z dodatkami FS1 + transport,N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,0,1484,Towar,0,0,0
,\@Towary,Sprzedaż Betonu,,,,,1,260.0000,,260.0000,260.0000,260.0000,319.8000,0,15,65618,N,m3,0,Beton B-30 z transporetm,701-2-1,0.00,0.00,0.00,0.00,0,Beton C25/30 z transportem,N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,0,1484,Towar,0,0,0
,\@Towary,Sprzedaż Betonu,,,,,1,235.0000,,235.0000,235.0000,235.0000,289.0500,0,15,65604,N,m3,0,Beton B-37,701-2-1,0.00,0.00,0.00,0.00,0,Beton C30/37,N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,0,1484,Towar,0,0,0
,\@Towary,Sprzedaż Betonu,,,,,1,250.0000,,250.0000,250.0000,250.0000,307.5000,0,15,65883,N,m3,0,Beton B-37 W8 z transportem,701-2-1,0.00,0.00,0.00,0.00,0,Beton C30/37 W8 z transportem,N,0,1,1,1,0,0,0,1.0000,0.0000,0.0000,0.0000,23.00,0,,Towar,0,0,0
,\@Towary,Sprzedaż Betonu,,,,,1,270.0000,,270.0000,270.0000,270.0000,332.1000,0,15,65683,N,m3,255,Beton B-37 z transportem,701-2-1,0.00,0.00,0.00,0.00,0,Beton C30/37 z transportem,N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,0,1484,Towar,0,0,0
,\@Towary,Sprzedaż Betonu,,,,,1,280.0000,,280.0000,280.0000,280.0000,344.4000,0,15,65768,N,m3,0,Beton B-40,701-2-1,0.00,0.00,0.00,0.00,0,Beton B-40,N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,0,,Towar,0,0,0
,\@Towary,Sprzedaż Betonu,,,,,1,298.0000,,298.0000,298.0000,298.0000,366.5400,0,15,65756,N,m3,0,Beton B-45 z transportem,701-2-1,0.00,0.00,0.00,0.00,0,Beton B-45 z transportem,N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,0,,Towar,0,0,0
,\@Towary,Sprzedaż Betonu,,,,,1,300.0000,,300.0000,300.0000,300.0000,369.0000,0,15,65888,N,m3,0,Beton C30/C37 XF3 z transportem,701-2-1,0.00,0.00,0.00,0.00,0,Beton C30/C37 XF3 z transportem,N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,0,,Towar,0,0,0
,\@Towary,Sprzedaż Betonu,,,,,1,210.0000,,210.0000,210.0000,210.0000,258.3000,0,15,65639,N,m3,0,Beton zgodny z recepturą kontrahenta,701-2-1,0.00,0.00,0.00,0.00,0,Beton zgodny z recepturą kontrahenta,N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,0,1484,Towar,0,0,0
GTU_13,\@Towary,Sprzedaż usług,,,,,1,270.0000,,270.0000,270.0000,270.0000,332.1000,0,15,65762,N,kurs,0,Betonomieszarka / kursy,702-2-2,0.00,0.00,0.00,0.00,0,Usługa betonomieszarką,N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,0,2008 - 49.41.1,Towar,0,0,0
GTU_13,\@Towary,Sprzedaż usług,,,,,1,250.0000,,250.0000,250.0000,250.0000,307.5000,0,15,65815,N,Ryczałt,0,Betonomieszarka / ryczałt,702-2-2,0.00,0.00,0.00,0.00,0,Usługa betonomieszarką (dojazd + zjazd),N,0,1,1,1,0,0,0,1.0000,0.0000,0.0000,0.0000,23.00,0,,Towar,0,0,0
GTU_13,\@Towary,Sprzedaż usług,,,,,1,130.0000,,130.0000,130.0000,130.0000,159.9000,0,15,65541,N,godz,0,Betonomieszarka w godz.,702-2-2,0.00,0.00,0.00,0.00,0,Usługa betonomieszarką,N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,1,,Towar,0,0,0
GTU_13,\@Towary,Sprzedaż usług,,,,,1,12.0000,,12.0000,12.0000,12.0000,14.7600,0,15,65940,N,km,0,Betonomieszarka w km,,0.00,0.00,0.00,0.00,0,Usługa betonomieszarką,N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,1,,Towar,0,0,0
GTU_13,\@Towary,Sprzedaż usług,,,,,1,30.0000,,30.0000,30.0000,30.0000,36.9000,0,15,65737,N,m3,0,Betonomieszarka w m3,702-2-2,0.00,0.00,0.00,0.00,0,Usługa betonomieszarką,N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,0,,Towar,0,0,0
GTU_13,\@Towary,Sprzedaż usług,,,,,1,30.0000,,30.0000,30.0000,30.0000,36.9000,0,15,65814,N,szt,0,Betonomieszarka w szt.,702-2-2,0.00,0.00,0.00,0.00,0,Betonomieszarka,N,0,1,1,1,0,0,0,1.0000,0.0000,0.0000,0.0000,23.00,0,2008 - 49.41.1,Towar,0,0,0
,\@Towary,Sprzedaż Betonu,,,,,1,230.0000,,230.0000,230.0000,230.0000,282.9000,0,15,65626,N,m3,0,Beyton B-30 + dodatek,701-2-1,0.00,0.00,0.00,0.00,0,Beton B-30 + dodatek,N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,0,1484,Towar,0,0,0
,\@Towary,Pozostała sprzedaz,,,,,1,0.0000,,0.0000,0.0000,0.0000,0.0000,0,15,65692,N,szt,0,Budowa Bojkowska,,0.00,0.00,0.00,0.00,0,Budowa Bojkowska,N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,0,,Towar,0,0,0
,\@Towary,Pozostała sprzedaz,,,,,1,0.0000,,0.0000,0.0000,0.0000,0.0000,0,15,65693,N,szt,0,Budowa Gliwice ulica Bojkowska,,0.00,0.00,0.00,0.00,0,Budowa Gliwice ulica Bojkowska,N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,0,,Towar,0,0,0
,\@Towary,Pozostała sprzedaz,,,,,1,0.0000,,0.0000,0.0000,0.0000,0.0000,0,15,65690,N,szt,0,Budowa Zabrze,,0.00,0.00,0.00,0.00,0,Budowa Zabrze,N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,0,,Towar,0,0,0
,\@Towary,Sprzedaż Betonu,,,,,1,300.0000,,300.0000,300.0000,300.0000,369.0000,0,15,65764,N,t,0,Cement,,0.00,0.00,0.00,0.00,0,Cement,N,0,1,1,1,0,0,0,0.0000,0.0000,0.0000,0.0000,23.00,0,,Towar,0,0,0
,\@Towary,Pozostała sprzedaz,Ciągnik samochodowy DAF FTG XF105 nr rej.: SG 5104,X; nr podwozia: XLRTG47MS0E913030; rok produkcji: ,2011 r.,,1,95000.0000,,95000.0000,95000.0000,95000.0000,116850.0000,0,15,65938,N,szt,0,Ciągnik samochodowy DAF FTG XF105,,0.00,0.00,0.00,0.00,0,Ciągnik samochodowy DAF FTG XF105 nr ...,N,0,1,1,1,0,0,0,1.0000,0.0000,0.0000,0.0000,23.00,0,,Towar,0,0,0
